clip_id,scene,shot,clip_of,seconds,location,still_used,status,take_file,qc_notes
S30-30D,30,30D,1/1,8,LOC-03 + LOC-10,,TODO,,
S30-30E-a,30,30E,1/2,5,LOC-03 + LOC-10,,TODO,,
S30-30E-b,30,30E,2/2,4,LOC-03 + LOC-10,,TODO,,
S30-30F-a,30,30F,1/2,6,LOC-03 + LOC-10,,TODO,,
S30-30F-b,30,30F,2/2,5,LOC-03 + LOC-10,,TODO,,
S30-30G-a,30,30G,1/3,6,LOC-03 + LOC-10,,TODO,,
S30-30G-b,30,30G,2/3,6,LOC-03 + LOC-10,,TODO,,
S30-30G-c,30,30G,3/3,6,LOC-03 + LOC-10,,TODO,,
S30-30H-a,30,30H,1/2,5,LOC-03 + LOC-10,,TODO,,
S30-30H-b,30,30H,2/2,4,LOC-03 + LOC-10,,TODO,,
S30-30I-a,30,30I,1/2,5,LOC-03 + LOC-10,,TODO,,
S30-30I-b,30,30I,2/2,4,LOC-03 + LOC-10,,TODO,,
S30-30J-a,30,30J,1/2,5,LOC-03 + LOC-10,,TODO,,
S30-30J-b,30,30J,2/2,4,LOC-03 + LOC-10,,TODO,,
S30-30K,30,30K,1/1,8,LOC-03 + LOC-10,,TODO,,
S30-30L,30,30L,1/1,5,LOC-03 + LOC-10,,TODO,,
S30-30M-a,30,30M,1/2,5,LOC-03 + LOC-10,,TODO,,
S30-30M-b,30,30M,2/2,4,LOC-03 + LOC-10,,TODO,,
S30-30N-a,30,30N,1/2,5,LOC-03 + LOC-10,,TODO,,
S30-30N-b,30,30N,2/2,5,LOC-03 + LOC-10,,TODO,,
S30-30O-a,30,30O,1/3,6,LOC-03 + LOC-10,,TODO,,
S30-30O-b,30,30O,2/3,6,LOC-03 + LOC-10,,TODO,,
S30-30O-c,30,30O,3/3,6,LOC-03 + LOC-10,,TODO,,
S30-30P-a,30,30P,1/2,5,LOC-03 + LOC-10,,TODO,,
S30-30P-b,30,30P,2/2,5,LOC-03 + LOC-10,,TODO,,
S30-30Q-a,30,30Q,1/3,8,LOC-03 + LOC-10,,TODO,,
S30-30Q-b,30,30Q,2/3,7,LOC-03 + LOC-10,,TODO,,
S30-30Q-c,30,30Q,3/3,7,LOC-03 + LOC-10,,TODO,,
