clip_id,scene,shot,clip_of,seconds,location,prompt
S13-13B-b,13,13B,2/2,5,LOC-05 + LOC-01,"MS 2-shot, eye, 40mm, handheld, warm, alive. FLASHBACK 2057: warm amber Cradle training hall. Cadet Arjun fails to hold a bastion; it shatters. Dev picks up the pieces of light and hands them back. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: the Anjari Salt Flats — 90km of cracked white salt, ghost-foundations of vanished buildings, a leaning melted pylon, flat white sky, absolutely no wind and nothing moving, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. night / flashback, dead air. Light: warm amber tungsten — the warmest lighting in the entire film. Effect: a shattered bastion as physical shards of light that can be picked up like glass. Audio: a shattering chime; laughter; the room has generous reverb, unlike the flats. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S13-13C,13,13C,1/1,8,LOC-05 + LOC-01,"CU, eye, 85mm, handheld. 'Nobody holds a corner. You hold the anchor and let the corner argue.' He taps the boy's sternum twice. Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: the Anjari Salt Flats — 90km of cracked white salt, ghost-foundations of vanished buildings, a leaning melted pylon, flat white sky, absolutely no wind and nothing moving, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. night / flashback, dead air. Light: warm amber key. Audio: two soft taps, mixed forward — a motif that returns in Sc.30. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S13-13D,13,13D,1/1,4,LOC-05 + LOC-01,"CU, eye, 100mm, locked-off, no camera movement. BACK TO PRESENT: Arjun's eyes wet in firelight. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: the Anjari Salt Flats — 90km of cracked white salt, ghost-foundations of vanished buildings, a leaning melted pylon, flat white sky, absolutely no wind and nothing moving, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. night / flashback, dead air. Light: firelight. Audio: the taps still ringing. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S13-13E,13,13E,1/1,1,LOC-05 + LOC-01,"FLASH insert ×4, eye, handheld, violent, 40mm, 4 single frames. FOUR FRAMES: a brass lever with a red grip / a hand / not Dev's hand / HIS hand. Setting: the Anjari Salt Flats — 90km of cracked white salt, ghost-foundations of vanished buildings, a leaning melted pylon, flat white sky, absolutely no wind and nothing moving, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. night / flashback, dead air. Light: blown amber-white. Effect: frame-level grain spike +40%, chromatic tearing. Audio: a stab; a swallowed scream. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S13-13F,13,13F,1/1,5,LOC-05 + LOC-01,"MS, low, 50mm, handheld. He drops the stone like it's hot; it lands in the salt still pulsing. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: the Anjari Salt Flats — 90km of cracked white salt, ghost-foundations of vanished buildings, a leaning melted pylon, flat white sky, absolutely no wind and nothing moving, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. night / flashback, dead air. Light: firelight + amber pulse from the ground. Effect: pulse. Audio: his breathing out of control for the first time. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S13-13G-a,13,13G,1/2,5,LOC-05 + LOC-01,"insert, directly overhead, 40mm macro, locked-off, no camera movement. He writes: ASK: WHO PULLED THE RING? Then draws a BOX around it so he can't tear it out. Setting: the Anjari Salt Flats — 90km of cracked white salt, ghost-foundations of vanished buildings, a leaning melted pylon, flat white sky, absolutely no wind and nothing moving, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. night / flashback, dead air. Light: firelight only, flickering on wet paper. Audio: pencil; fire. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S13-13G-b,13,13G,2/2,4,LOC-05 + LOC-01,"insert, directly overhead, 40mm macro, locked-off, no camera movement. He writes: ASK: WHO PULLED THE RING? Then draws a BOX around it so he can't tear it out. Setting: the Anjari Salt Flats — 90km of cracked white salt, ghost-foundations of vanished buildings, a leaning melted pylon, flat white sky, absolutely no wind and nothing moving, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. night / flashback, dead air. Light: firelight only, flickering on wet paper. Audio: pencil; fire. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S14-14A-a,14,14A,1/2,5,LOC-06,"WS, eye, deep one-point perspective down the racks, 25mm, slow dolly forward, centred. Amber emergency lighting; hundreds of grey evidence drums on frosted racks; breath fogging; three figures entering a corridor of the dead. Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: amber emergency only, hard pools every 8m, black between. Effect: breath fog, frost. Audio: refrigeration hum; the loudest room tone in the film. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S14-14A-b,14,14A,2/2,4,LOC-06,"WS, eye, deep one-point perspective down the racks, 25mm, slow dolly forward, centred. Amber emergency lighting; hundreds of grey evidence drums on frosted racks; breath fogging; three figures entering a corridor of the dead. Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: amber emergency only, hard pools every 8m, black between. Effect: breath fog, frost. Audio: refrigeration hum; the loudest room tone in the film. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S14-14B,14,14B,1/1,7,LOC-06,"MS, eye, 50mm, steadicam follow. Riya — hair now in a SINGLE BRAID, first appearance of the braid — swipes a supervisor's card. 'Eleven minutes. Rack forty-one. Nothing with a red band; those are the Anjari remains.'. Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: amber, card reader green. Audio: card chime; her boots. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S14-14C,14,14C,1/1,8,LOC-06,"MS, eye, tracking with her, 40mm, lateral tracking. Kira in a too-big Authority coat reading drum labels with her mouth slightly open. 'There's a drum here with my mother's district on it.'. Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: amber pools passing across her face rhythmically. Audio: her footsteps stopping. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S14-14D,14,14D,1/1,4,LOC-06,"insert, eye, 85mm, slow push. Stencil on grey steel: INQ-0803-59 · SEALED · MINISTERIAL. Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: one amber pool. Audio: a low sustained note enters. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S14-14E,14,14E,1/1,7,LOC-06,"MS, high, over the drum, 40mm, locked-off, no camera movement. The drum cracked open: paper files, a Corps helmet with a shattered visor, a brass footage cartridge. Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: amber, and cold blue from inside the drum's frost. Audio: seal breaking; frost cracking. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S14-14F,14,14F,1/1,7,LOC-06,"ECU, macro, from Arjun's POV, 100mm macro, slow rotate with the helmet. He turns the helmet. On the inside of the brow, in grease pencil, in his own handwriting: VEDH, A. — CADET. Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: single amber source raking the interior. Audio: everything drops out; one heartbeat. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S14-14G,14,14G,1/1,6,LOC-06,"CU, eye, 85mm, locked-off, no camera movement. 'Why is my helmet in the inquiry.' Nobody answers. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: amber, and the reflection of the shattered visor across his eyes. Audio: the refrigeration hum returning too loud. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S14-14H,14,14H,1/1,6,LOC-06,"WS, high, 32mm, locked-off, no camera movement. Overhead PA chime; the racks' amber lights begin flicking one by one to red down the length of the room. Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window. 03:40, rain outside. Light: amber → red sweeping away from camera. Effect: practical lighting cue. Audio: 'Archive Level B7 — seal integrity fault.'. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15A,15,15A,1/1,8,LOC-06 + LOC-01,"MS, eye, four faces in a row, 40mm, locked-off, no camera movement. A cramped brass playback booth; four faces lit only by a small 4:3 screen inside our 2.39 frame — the aspect ratio itself is a jail. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Meera (61, small Bengali woman, cropped grey-white hair, glasses on a beaded chain, her LEFT arm a brass mechanical prosthetic, indigo kurta and canvas apron). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: screen light only, flickering. Effect: screen comp. Audio: cartridge mechanism; tape hiss. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15B,15,15B,1/1,6,LOC-06 + LOC-01,"REPLAY of 1D, IDENTICAL to shot 1D, 40mm, IDENTICAL. FRAME-FOR-FRAME MATCH: Dev pinned on the level-3 catwalk. Now degraded to helmet-cam quality: 4:3, 60% desaturated, scan lines, exposure pumping. Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: identical to 1D, then processed through the helmet-cam LUT. Effect: helmet-cam degrade pass over the original Sc.1 plates — CONTINUITY CRITICAL. Audio: tinny, band-limited 300Hz-4kHz. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15C,15,15C,1/1,5,LOC-06 + LOC-01,"REPLAY of 1E, IDENTICAL to 1E, 75mm, IDENTICAL. 'Cadet. Go up.' Same performance, same frame, degraded. Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: identical. Effect: degrade pass. Audio: tinny. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15D,15,15D,1/1,8,LOC-06 + LOC-01,"REPLAY of 1J → CONTINUATION, IDENTICAL, then NEW, 32mm, identical run-in, then the camera KEEPS GOING. THE CUT WE DIDN'T GET: Arjun's hand closes on the brass lever with the red grip and HAULS. The containment ring retracts. Dev is freed. For one second it works. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: amber, white bloom rising. Effect: containment ring retraction; the geometry that kills 200,000 people, rendered as a piece of ordinary industrial machinery working correctly. Audio: hydraulics releasing — a satisfying, awful, mechanical success. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15E,15,15E,1/1,6,LOC-06 + LOC-01,"CU, eye, on the footage, 75mm, handheld. Dev pulls himself free, looks up at the boy with pride and horror: 'Oh, Arjun. What have you done.'. Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: white bloom now keying him. Effect: bloom interactive. Audio: his voice tiny and tinny and clear. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15F,15,15F,1/1,7,LOC-06 + LOC-01,"WS, helmet POV, low, 21mm, the wearer's own stagger. The bloom comes up the shaft. Not fire. Silent, white, gentle. It takes the catwalks. It takes Dev. Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: the bloom is total; everything else is gone. Effect: the Bloom consuming a 200m shaft; matter does not burn, it goes WHITE and stops. Audio: the recording's audio CLIPS AND DIES, leaving only the 38Hz tone. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15G,15,15G,1/1,5,LOC-06 + LOC-01,"ECU, reflection in the shattered visor, 100mm macro, locked-off, no camera movement. The last thing recorded: the boy's own reflection in his shattered visor, mouth open, lit white. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: pure white. Effect: reflection comp in cracked glass. Audio: nothing. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15H-a,15,15H,1/2,7,LOC-06 + LOC-01,"WS, eye, 40mm, locked-off, no camera movement. Back in the booth. The little screen holds white, then black. NOBODY MOVES FOR ELEVEN SECONDS. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Meera (61, small Bengali woman, cropped grey-white hair, glasses on a beaded chain, her LEFT arm a brass mechanical prosthetic, indigo kurta and canvas apron). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: the white screen fading to black takes the only light out of the room with it. Audio: tape run-out flapping. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S15-15H-b,15,15H,2/2,6,LOC-06 + LOC-01,"WS, eye, 40mm, locked-off, no camera movement. Back in the booth. The little screen holds white, then black. NOBODY MOVES FOR ELEVEN SECONDS. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Riya (34, Bengali-Indian woman, athletic, storm-grey military command coat with oxblood shoulder piping, black hair). Kira (17, mixed Nigerian-Indian girl, wiry, dark brown skin, SIX cornrows in a high knot with THREE copper clips on the left, one brass earring, grey cloth wraps on both forearms). Meera (61, small Bengali woman, cropped grey-white hair, glasses on a beaded chain, her LEFT arm a brass mechanical prosthetic, indigo kurta and canvas apron). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: the white screen fading to black takes the only light out of the room with it. Audio: tape run-out flapping. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S15-15I,15,15I,1/1,8,LOC-06 + LOC-01,"insert, directly overhead, 40mm macro, locked-off, no camera movement. He opens the notebook to the boxed sentence ASK: WHO PULLED THE RING? and writes beneath it, in pencil: You did.. Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: screen backwash only, very dim. Audio: pencil on wet paper. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S15-15J-a,15,15J,1/3,6,LOC-06 + LOC-01,"CU, eye, 85mm, locked-off, no camera movement. 'Two hundred thousand people, one hundred and thirty-eight Guardians, and my sister was in the Anjari market buying thread.' Perfectly level, which is worse. Arjun (32, South Indian man, lean swimmer's build, deep brown skin, black mid-length hair pushed back with a grey streak at the RIGHT temple, heavy stubble, faint silver branching scars along both forearms). Setting: the Bastion Spire — a brutalist grey concrete tower, low corridors, oxblood floor stripe, cyan fluorescents, rain on every window, intercut with a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 03:55 / 14:12 2059, —. Light: a single amber rack light through the booth glass. Audio: no score. None. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 3. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
